,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Marker
0,-68747.14866246565,-65948.93377410577,-100587.72272917304,-83686.09353138132,-76357.24709716406,-69429.86034510855,-65024.599733901,-80159.63645692306,-46050.7179559133,-54117.01549494451,-45409.37935225718,-125644.83292637265,-92085.11913837423,-81853.0716720905,-61374.26929167144,-70440.31565669962,0
1,-68747.14866246565,-65948.93377410577,-100587.72272917304,-83686.09353138132,-76357.24709716406,-69429.86034510855,-65024.599733901,-80159.63645692306,-46050.7179559133,-54117.01549494451,-45409.37935225718,-125644.83292637265,-92085.11913837423,-81853.0716720905,-61374.26929167144,-70440.31565669962,0
2,-68747.14866246565,-65948.93377410577,-100587.72272917304,-83686.09353138132,-76357.24709716406,-69429.86034510855,-65024.599733901,-80159.63645692306,-46050.7179559133,-54117.01549494451,-45409.37935225718,-125644.83292637265,-92085.11913837423,-81853.0716720905,-61374.26929167144,-70440.31565669962,0
3,-68747.14866246565,-65948.93377410577,-100587.72272917304,-83686.09353138132,-76357.24709716406,-69429.86034510855,-65024.599733901,-80159.63645692306,-46050.7179559133,-54117.01549494451,-45409.37935225718,-125644.83292637265,-92085.11913837423,-81853.0716720905,-61374.26929167144,-70440.31565669962,0
4,-68730.94364773556,-65970.01146912712,-100589.26499954045,-83691.88263319524,-76358.38703613127,-69422.30545548267,-65010.20521047178,-80167.81719539371,-46038.69271739635,-54118.82598624539,-45495.277106198926,-126689.37464825806,-92083.62157149572,-81844.13097430837,-61364.00984096645,-70394.38282184396,0
5,-68730.94364773556,-65970.01146912712,-100589.26499954045,-83691.88263319524,-76358.38703613127,-69422.30545548267,-65010.20521047178,-80167.81719539371,-46038.69271739635,-54118.82598624539,-45495.277106198926,-126689.37464825806,-92083.62157149572,-81844.13097430837,-61364.00984096645,-70394.38282184396,0
6,-68730.94364773556,-65970.01146912712,-100589.26499954045,-83691.88263319524,-76358.38703613127,-69422.30545548267,-65010.20521047178,-80167.81719539371,-46038.69271739635,-54118.82598624539,-45495.277106198926,-126689.37464825806,-92083.62157149572,-81844.13097430837,-61364.00984096645,-70394.38282184396,0
7,-68730.94364773556,-65970.01146912712,-100589.26499954045,-83691.88263319524,-76358.38703613127,-69422.30545548267,-65010.20521047178,-80167.81719539371,-46038.69271739635,-54118.82598624539,-45495.277106198926,-126689.37464825806,-92083.62157149572,-81844.13097430837,-61364.00984096645,-70394.38282184396,0
8,-68730.94364773556,-65970.01146912712,-100589.26499954045,-83691.88263319524,-76358.38703613127,-69422.30545548267,-65010.20521047178,-80167.81719539371,-46038.69271739635,-54118.82598624539,-45495.277106198926,-126689.37464825806,-92083.62157149572,-81844.13097430837,-61364.00984096645,-70394.38282184396,0
9,-68663.95546960301,-65960.17670156679,-100571.92004584313,-83680.28207782294,-76323.13833512526,-69402.4794581508,-64994.13430620841,-80131.54031414275,-46028.27680448018,-54047.0098313105,-45564.83573494384,-127743.3488063036,-92049.3786989902,-81793.16899695028,-61321.00508463444,-70369.12535060947,0
